test_num,select_type,select_args,found,initial_pop,in_min_len,in_max_len,lambda,max_mut_len,tests,mse,exec_time,gen,limit
1,elitism,4000,0,4000,2,5,14000,5,100,4.275000386401632,202.94259108999995,230,5
2,elitism,4000,0,4000,2,5,14000,5,100,22.45086874870375,205.33286565700018,230,5
3,elitism,4000,1,4000,2,5,14000,5,100,6.025202497537469e-30,185.78210058600007,230,5
4,elitism,4000,1,4000,2,5,14000,5,100,7.253853357419196e-30,184.12816522999992,230,5
5,elitism,4000,1,4000,2,5,14000,5,100,4.5714797606348735e-30,206.03118546799988,230,5
6,elitism,4000,1,4000,2,5,14000,5,100,5.898984752702107e-30,186.0516923360001,230,5
7,elitism,4000,0,4000,2,5,14000,5,100,11.390643188472684,232.2792136920002,230,5
8,elitism,4000,1,4000,2,5,14000,5,100,5.898984752702107e-30,201.48216258699995,230,5
9,elitism,4000,0,4000,2,5,14000,5,100,18.63067469436927,202.03616756400015,230,5
10,elitism,4000,1,4000,2,5,14000,5,100,9.795218067395261e-30,197.68053435899947,230,5
11,elitism,4000,1,4000,2,5,14000,5,100,1.664967977666721e-29,219.01481309100018,230,5
12,elitism,4000,0,4000,2,5,14000,5,100,9.192281983706648,196.5905269269997,230,5
13,elitism,4000,1,4000,2,5,14000,5,100,8.018801916450695e-30,174.9685486089993,230,5
14,elitism,4000,0,4000,2,5,14000,5,100,18.723363969807615,232.88854071900005,230,5
15,elitism,4000,0,4000,2,5,14000,5,100,7.841083736648676,278.5782406540002,230,5
16,elitism,4000,1,4000,2,5,14000,5,100,5.898984752702107e-30,182.2952444929997,230,5
17,elitism,4000,1,4000,2,5,14000,5,100,1.021208175199799e-29,158.9433369799999,230,5
18,elitism,4000,1,4000,2,5,14000,5,100,6.025202497537469e-30,179.62739145700016,230,5
19,elitism,4000,1,4000,2,5,14000,5,100,5.898984752702107e-30,184.80103622299976,230,5
20,elitism,4000,1,4000,2,5,14000,5,100,1.021208175199799e-29,175.5121689790003,230,5
21,elitism,4000,0,4000,2,5,14000,5,100,11.467228058545254,211.03191134700046,230,5
22,elitism,4000,0,4000,2,5,14000,5,100,1.7757283236083738,203.46973456399974,230,5
23,elitism,4000,1,4000,2,5,14000,5,100,5.898984752702107e-30,196.02534640499925,230,5
24,elitism,4000,1,4000,2,5,14000,5,100,7.356158756065045e-30,193.14622884500022,230,5
25,elitism,4000,0,4000,2,5,14000,5,100,11.708245364464872,212.32043633800004,230,5
26,elitism,4000,1,4000,2,5,14000,5,100,5.898984752702107e-30,191.98421834800047,230,5
27,elitism,4000,1,4000,2,5,14000,5,100,6.159308851425041e-30,208.13520766800048,230,5
28,elitism,4000,1,4000,2,5,14000,5,100,9.297003101941616e-30,235.60855828500007,230,5
29,elitism,4000,1,4000,2,5,14000,5,100,5.0921279580807414e-30,205.10583275600038,230,5
30,elitism,4000,1,4000,2,5,14000,5,100,9.722987990760962e-30,196.23757604099956,230,5
31,elitism,4000,1,4000,2,5,14000,5,100,1.2746790448086252e-29,205.6034023029988,230,5
32,elitism,4000,0,4000,2,5,14000,5,100,21.732230162545225,227.68719387000056,230,5
33,elitism,4000,1,4000,2,5,14000,5,100,1.3581750412456117e-29,225.83660538300137,230,5
34,elitism,4000,1,4000,2,5,14000,5,100,6.025202497537469e-30,183.55788119600038,230,5
35,elitism,4000,1,4000,2,5,14000,5,100,4.8949127317754885e-30,221.87847741400037,230,5
