select_type,select_args,found,initial_pop,in_min_len,in_max_len,ev_cycles,cross_prob,mut_prob,max_mut_len,tests,mse,evaluations,exec_time,gen
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.799403e+01, 2256498, 48.884692, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 6.266811e+01, 2265748, 51.760023, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.815058e+01, 2272251, 52.537476, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.997299e+01, 2264377, 32.958121, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.663997e+01, 2267909, 58.293371, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.840058e+01, 2265614, 43.622251, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.745698e+01, 2265621, 32.466228, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.631853e+01, 2272248, 34.337636, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.921950e+01, 2273887, 84.916889, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.626554e+01, 2271519, 43.018754, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.585911e+01, 2273375, 46.584176, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.361029e+01, 2266661, 41.478660, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.731146e+01, 2274354, 47.000779, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 3.050861e+01, 2270091, 34.535719, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 1.100481e+02, 2268773, 382.886272, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.185104e+01, 2273735, 92.537793, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 1.278903e+03, 2273221, 44.300548, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 1.845672e+01, 2273923, 321.097639, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 3.032541e+01, 2267584, 45.343700, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.968476e+01, 2268107, 32.138518, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 1.851337e+01, 2267504, 203.085254, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.584956e+01, 2277917, 148.633118, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.864838e+01, 2270512, 55.006993, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 3.033139e+01, 2273592, 41.746008, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 3.035661e+01, 2259666, 31.934420, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.019266e+01, 2230493, 50.354083, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.250470e+01, 2268838, 100.277651, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.268672e+01, 2272892, 47.358637, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.669958e+01, 2266022, 36.511312, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.481776e+01, 2260881, 32.750630, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.797545e+01, 2261046, 32.111670, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.516044e+01, 2277121, 67.088633, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.711392e+01, 2259945, 33.649279, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.808551e+01, 2273473, 31.836039, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 3.048349e+01, 2269714, 41.996650, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 4.777166e+01, 2269033, 63.658839, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.020527e+01, 2274815, 57.711456, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 2.970146e+01, 2276310, 49.100326, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 5.967655e+02, 2264844, 37.246833, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.960000, 5, 100, 3.016109e+01, 2270390, 37.257770, 230
