test_num,select_type,select_args,found,initial_pop,in_min_len,in_max_len,lambda,max_mut_len,tests,mse,exec_time,gen
1,elitism,4000,0,4000,2,5,14000,5,100,4.275000386401632,202.94259108999995,230
2,elitism,4000,0,4000,2,5,14000,5,100,22.45086874870375,205.33286565700018,230
3,elitism,4000,1,4000,2,5,14000,5,100,6.025202497537469e-30,185.78210058600007,230
4,elitism,4000,1,4000,2,5,14000,5,100,7.253853357419196e-30,184.12816522999992,230
5,elitism,4000,1,4000,2,5,14000,5,100,4.5714797606348735e-30,206.03118546799988,230
6,elitism,4000,1,4000,2,5,14000,5,100,5.898984752702107e-30,186.0516923360001,230
7,elitism,4000,0,4000,2,5,14000,5,100,11.390643188472684,232.2792136920002,230
8,elitism,4000,1,4000,2,5,14000,5,100,5.898984752702107e-30,201.48216258699995,230
9,elitism,4000,0,4000,2,5,14000,5,100,18.63067469436927,202.03616756400015,230
10,elitism,4000,1,4000,2,5,14000,5,100,9.795218067395261e-30,197.68053435899947,230
11,elitism,4000,1,4000,2,5,14000,5,100,1.664967977666721e-29,219.01481309100018,230
12,elitism,4000,0,4000,2,5,14000,5,100,9.192281983706648,196.5905269269997,230
13,elitism,4000,1,4000,2,5,14000,5,100,8.018801916450695e-30,174.9685486089993,230
14,elitism,4000,0,4000,2,5,14000,5,100,18.723363969807615,232.88854071900005,230
15,elitism,4000,0,4000,2,5,14000,5,100,7.841083736648676,278.5782406540002,230
16,elitism,4000,1,4000,2,5,14000,5,100,5.898984752702107e-30,182.2952444929997,230
17,elitism,4000,1,4000,2,5,14000,5,100,1.021208175199799e-29,158.9433369799999,230
18,elitism,4000,1,4000,2,5,14000,5,100,6.025202497537469e-30,179.62739145700016,230
19,elitism,4000,1,4000,2,5,14000,5,100,5.898984752702107e-30,184.80103622299976,230
20,elitism,4000,1,4000,2,5,14000,5,100,1.021208175199799e-29,175.5121689790003,230
21,elitism,4000,0,4000,2,5,14000,5,100,11.467228058545254,211.03191134700046,230
22,elitism,4000,0,4000,2,5,14000,5,100,1.7757283236083738,203.46973456399974,230
23,elitism,4000,1,4000,2,5,14000,5,100,5.898984752702107e-30,196.02534640499925,230
24,elitism,4000,1,4000,2,5,14000,5,100,7.356158756065045e-30,193.14622884500022,230
25,elitism,4000,0,4000,2,5,14000,5,100,11.708245364464872,212.32043633800004,230
26,elitism,4000,1,4000,2,5,14000,5,100,5.898984752702107e-30,191.98421834800047,230
27,elitism,4000,1,4000,2,5,14000,5,100,6.159308851425041e-30,208.13520766800048,230
28,elitism,4000,1,4000,2,5,14000,5,100,9.297003101941616e-30,235.60855828500007,230
29,elitism,4000,1,4000,2,5,14000,5,100,5.0921279580807414e-30,205.10583275600038,230
30,elitism,4000,1,4000,2,5,14000,5,100,9.722987990760962e-30,196.23757604099956,230
31,elitism,4000,1,4000,2,5,14000,5,100,1.2746790448086252e-29,205.6034023029988,230
32,elitism,4000,0,4000,2,5,14000,5,100,21.732230162545225,227.68719387000056,230
33,elitism,4000,1,4000,2,5,14000,5,100,1.3581750412456117e-29,225.83660538300137,230
34,elitism,4000,1,4000,2,5,14000,5,100,6.025202497537469e-30,183.55788119600038,230
35,elitism,4000,1,4000,2,5,14000,5,100,4.8949127317754885e-30,221.87847741400037,230
36,elitism,4000,1,4000,2,5,14000,5,100,4.8396924684100174e-30,187.57878960200105,230
37,elitism,4000,1,4000,2,5,14000,5,100,7.655925900049029e-30,184.7808135209998,230
38,elitism,4000,1,4000,2,5,14000,5,100,6.409772188832713e-30,194.18057721300102,230
39,elitism,4000,0,4000,2,5,14000,5,100,19.948256398957206,192.86479280999993,230
40,elitism,4000,1,4000,2,5,14000,5,100,7.70325755436229e-30,188.9846586370004,230
