select_type,select_args,found,initial_pop,in_min_len,in_max_len,ev_cycles,cross_prob,mut_prob,max_mut_len,tests,mse,evaluations,exec_time,gen
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 8.079895e+00, 2242926, 58.542469, 230
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.593105e-29, 413650, 5.792214, 43
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 5.880989e-30, 753462, 9.336101, 79
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.859893e+01, 2255974, 51.419374, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.938255e+01, 2250755, 130.091126, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 4.527211e+01, 2229332, 88.034577, 230
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.255475e-29, 809006, 10.883534, 84
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 3.814405e+00, 2191745, 724.350426, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.043891e+01, 2250920, 318.875281, 230
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.364930e-29, 948770, 13.078549, 100
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.132440e+01, 2228626, 68.636504, 230
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.250742e-29, 859920, 13.185937, 93
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 2.253635e+03, 2205945, 36.550738, 230
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.182506e-29, 795514, 9.982133, 85
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.876093e+01, 2216053, 46.015833, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 7.675988e+02, 2161348, 27.993187, 230
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.712226e-29, 721499, 9.068280, 75
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 5.880989e-30, 520443, 6.884373, 55
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.289983e+01, 2236854, 81.436463, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.772430e+01, 2251595, 40.954512, 230
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.062993e-29, 921900, 11.944914, 95
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.797693e+308, 2255348, 42.400826, 230
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.155882e-29, 872098, 10.865495, 93
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 7.245687e-30, 1211086, 15.676340, 126
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.593105e-29, 415184, 6.076895, 45
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.495486e-29, 373155, 4.905699, 39
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 8.042468e-30, 301581, 4.076270, 32
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 8.332711e+00, 2237416, 289.310870, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 9.374789e+00, 2244742, 575.988108, 230
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 5.880989e-30, 297953, 4.111690, 32
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 3.658926e+01, 2225080, 55.430545, 230
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 7.306855e-30, 246382, 3.823836, 26
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.294721e-29, 436893, 5.602372, 46
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.593105e-29, 317160, 4.323098, 34
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 2.192782e+01, 2222304, 71.337959, 230
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.523943e+01, 2235867, 89.306715, 230
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.930737e-29, 716032, 8.927715, 74
elitism, 4000, 0, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 3.667372e+00, 2242724, 302.600668, 230
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.155287e-29, 503806, 6.541311, 54
elitism, 4000, 1, 4000, 2, 5, 1, 0.770000, 0.940000, 5, 100, 1.155287e-29, 247958, 3.369614, 26
